コード,年度,自己資本比率,売上高,営業利益,一株配当,配当性向,連続増配,減配なし
2120,2020/09,60.3,35402758000,2497617000,5.29,50.77,1.0,1.0
2121,2021/03,83.2,119319000000,22928000000,110,52.82,0.0,0.0
2122,2020/09,55.4,24880448000,452103000,20,44.55,2.0,9.0
2124,2020/12,76.4,21614000000,5138000000,80,180.1,0.0,5.0
2127,2021/03,81.3,36130466000,16408193000,14,40.24,10.0,10.0
2130,2021/03,53.4,12087276000,1261855000,17.5,20.08,8.0,10.0
2136,2021/03,59.9,5006217000,258082000,30,26.19,0.0,3.0
2138,2021/03,34,35714892000,2134459000,-,-,0.0,2.0
2139,2021/03,44.5,6551231000,-292349000,-,-,0.0,0.0
2146,2021/03,36.2,115131000000,7163000000,66,0.02,0.0,0.0
2148,2021/03,78.4,6891223000,2022155000,16,20.52,2.0,8.0
2150,2020/12,57.8,5304372000,1510077000,2,7.64,1.0,4.0
2151,2021/03,37.6,42062000000,4067000000,30,28.65,1.0,2.0
2152,2021/03,68.3,5498809000,376317000,15,31.18,2.0,2.0
2153,2021/05,68,34334000000,3857000000,35,12.36,0.0,0.0
2154,2021/06,74.2,95110000000,3356000000,44,68.94,8.0,10.0
2156,2021/03,43.1,6271832000,-132566000,4,-,0.0,1.0
2157,2021/08,43.3,20791000000,-7628000000,4,-,1.0,1.0
2158,2021/03,37.5,10370080000,507000000,-,-,0.0,0.0
2159,2021/04,56.2,19835918000,813120000,3,11.5,0.0,4.0
2162,2021/03,14.9,54856858000,689210000,4,-,0.0,7.0
2163,2021/01,70.5,7174725000,887075000,23,37.19,7.0,7.0
2164,2021/08,5.8,2788000000,-51000000,-,-,0.0,0.0
2168,2021/05,25.2,334540000000,19940000000,30,11.17,3.0,10.0
2169,2020/12,79.1,7900357000,752951000,55,55.11,3.0,10.0
2170,2020/12,9.2,35278000000,241000000,7.2,-,0.0,7.0
2173,2021/03,21.9,7272217000,-587606000,-,-,3.0,10.0
2174,2020/12,58.9,20708000000,1760000000,35,168.17,0.0,3.0
2175,2021/03,45.3,35960000000,5470000000,9.5,15.4,0.0,0.0
2178,2021/02,43.7,47782543000,1320290000,7,22.48,0.0,2.0
2179,2021/03,29,11641859000,25363000,6,-,0.0,0.0
2180,2021/06,31.8,15356434000,519426000,6,10.09,0.0,0.0
2181,2021/03,41,950722000000,26439000000,26,40.96,9.0,10.0
2183,2021/03,37.4,10279314000,453434000,14,58.56,3.0,6.0
2185,2020/09,77.9,17071139000,1818539000,50,20.56,3.0,10.0
2186,2021/02,75.2,7531832000,251741000,32,64.42,8.0,8.0
2191,2020/12,60.4,76360000,-1089236000,-,-,0.0,0.0
2193,2020/12,88,11095929000,227409000,-,-,0.0,0.0
2195,2020/12,18.8,4608264000,289773000,-,0,0.0,6.0
2196,2021/03,21.3,12941549000,-6401044000,-,-,1.0,9.0
2198,2020/10,44.1,8746260000,-3981192000,-,-,0.0,0.0
2201,2021/03,60.5,168240000000,19162000000,80,27.01,5.0,10.0
2204,2021/03,61.4,30819561000,-1612352000,50,-,0.0,2.0
2206,2020/12,65.2,344048000000,18523000000,65,32.91,2.0,10.0
2207,2021/03,62.4,24180000000,403000000,24,36.27,1.0,4.0
2208,2021/03,64.1,118443000000,4179000000,24,17.81,6.0,10.0
2209,2021/03,54.9,42152710000,753306000,24,47.78,0.0,10.0
2211,2020/12,67.6,99085000000,2497000000,15,36.9,0.0,6.0
2212,2020/12,46.3,1014741000000,17438000000,22,62.49,1.0,2.0
2216,2020/12,56.5,23321485000,836499000,32,35.16,0.0,0.0
2217,2021/01,69.8,25672838000,751333000,60,49.92,0.0,0.0
2220,2021/03,62.7,103305000000,5620000000,53,23.04,7.0,10.0
2221,2021/03,73.4,22167631000,181136000,30,7.29,3.0,10.0
2222,2021/03,77.2,23204841000,-2890186000,30,-,0.0,8.0
2224,2021/03,39.9,6514303000,425750000,10,8.68,0.0,10.0
2226,2021/06,50.4,40205000000,1665000000,60,20.67,1.0,1.0
2229,2021/03,73.4,266745000000,27064000000,50,37.87,2.0,10.0
2230,2021/05,27.7,2158819000,136632000,-,-,0.0,1.0
2264,2021/03,43.9,583550000000,28867000000,70,15.84,4.0,10.0
2266,2020/12,48.7,54948000000,1940741000,20,40.76,0.0,1.0
2267,2021/03,63.8,385706000000,43694000000,52,20.01,3.0,3.0
2268,2020/12,56,17598340000,599924000,30,54.45,0.0,2.0
2269,2021/03,58.2,1191765000000,106061000000,160,34.25,6.0,10.0
2270,2021/03,49,615186000000,19780000000,40,18.15,0.0,10.0
2281,2021/03,48.3,433572000000,21475000000,85,21.32,0.0,10.0
2282,2021/03,52.5,1176101000000,50519000000,94,-,0.0,1.0
2286,2021/03,32.5,44366649000,615934000,15,10.34,0.0,10.0
2288,2021/03,58.7,223000000000,-330000000,30,215.78,0.0,1.0
